"Timestamp","1) What is the first word that comes to mind when you hear 'Amul'?","2) What makes you choose Amul over other brands?","3) If Amul disappeared from the market, what would you miss the most?","4) Awareness","5) Emotional Connection","6) Trust","7) Innovation","8) Digital presence","9) Gen-Z Appeal","10) Brand recall","10) Brand Loyalty"
"2026/09/02 11:22:47 am GMT+5:30","Taste of india","Pure amd natural","Ad","1","1","1","3","3","4","3","1"
"2026/09/02 11:23:20 am GMT+5:30","Taste ","Brand ","Milk","1","1","1","3","2","2","2","1"
"2026/09/02 11:23:20 am GMT+5:30","Amul milk product ","Heritage ","Icecream ","3","3","4","3","1","3","3","4"
"2026/09/02 11:24:29 am GMT+5:30","Taste of India ","Easy access","Chocolate ","1","3","3","3","1","3","2","3"
"2026/09/02 11:25:05 am GMT+5:30","Trustworthy ","Trust","Purity","2","2","3","3","3","3","2","4"
"2026/09/02 11:25:11 am GMT+5:30","Quality","Trusted products","Taste, quality","1","2","1","1","1","3","2","2"
"2026/09/02 11:25:13 am GMT+5:30","Authenticity ","Trust ","Quality products ","1","1","2","1","3","1","2","2"
"2026/09/02 11:25:22 am GMT+5:30","The taste of india","Tastes ","Chesse","1","2","2","2","1","2","1","2"
"2026/09/02 11:25:39 am GMT+5:30","Taste of India","Trust and authenticity ","Amul Milk","5","5","5","5","3","4","5","4"
"2026/09/02 11:25:54 am GMT+5:30","Taste of India","Trust","Ice cream, butter","1","1","1","2","1","4","2","2"
"2026/09/02 11:26:23 am GMT+5:30","The taste of india","I like the taste .","Yess","1","2","1","2","2","2","2","2"
"2026/09/02 11:26:48 am GMT+5:30","milk","better ","ice cream","3","3","4","3","2","2","4","4"
"2026/09/02 11:26:50 am GMT+5:30","Original butter","Quality","Butter","1","2","1","3","3","3","1","2"
"2026/09/02 11:27:05 am GMT+5:30","Utterly Butterly Delicious ","Authenticity ","Taste","1","2","2","3","2","2","2","1"
"2026/09/02 11:28:34 am GMT+5:30","Trust ","Nandini ","Quality, girl logi ","2","1","1","1","3","2","1","1"
"2026/09/02 11:28:41 am GMT+5:30","Aroma","Taste ","Amul butter","1","1","1","2","2","2","2","1"
"2026/09/02 11:29:15 am GMT+5:30","Purity","Taste and good will","Amul","1","1","1","1","1","1","1","1"
"2026/09/02 11:29:21 am GMT+5:30","Taste of India","Purity ","Butter","1","2","3","1","2","3","4","1"
"2026/09/02 11:31:00 am GMT+5:30","milk product","Purity ","Amul milk products like icecream curd and all","1","2","1","1","3","2","2","2"
"2026/09/02 11:33:06 am GMT+5:30","Milk ","Brand value ","Nothing ","1","4","2","1","1","3","3","3"
"2026/09/02 11:34:56 am GMT+5:30","Utterly buttery delicious ","Brand recognition ","Lassi ","1","1","1","1","2","1","1","3"
"2026/09/02 11:37:06 am GMT+5:30","Taste of India","Quality and trust","It’s dairy products such as milk and butter","1","1","1","1","1","1","1","1"
"2026/09/02 11:37:39 am GMT+5:30","Dairy products ","Quality ","Butter","2","3","2","2","2","2","2","2"
